Распределение численности населения России по полу и возрастным группам на  1 января 2017 года (тысяч человек)
Возраст(лет);Муж.+Женщ.;Мужчины;Женщины
Население, в т.ч. в возрасте:;146804;68044;78760
<1;1880;966;914
1-4;7702;3958;3744
5-9;8558;4389;4169
10-14;7408;3791;3617
15-19;6690;3418;3272
20-24;7828;3993;3835
25-29;11879;6035;5844
30-34;12537;6270;6267
35-39;11194;5505;5689
40-44;10381;5008;5373
45-49;9280;4439;4841
50-54;9835;4545;5290
55-59;11155;4947;6208
60-64;9610;3964;5646
65-69;7637;2942;4695
>=70;13230;3874;9356
